source	output	vertices	edges	vertex_labels	edge_labels
query_dense_24_160.graph	query_dense_24_160.cypher	24	99	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_161.graph	query_dense_24_161.cypher	24	66	0,1,10,11,12,13,14,2,3,4,5,6,7	0
query_dense_24_162.graph	query_dense_24_162.cypher	24	51	0,10,11,12,14,2,4,5,6,7,8,9	0
query_dense_24_163.graph	query_dense_24_163.cypher	24	42	0,1,10,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_164.graph	query_dense_24_164.cypher	24	121	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_165.graph	query_dense_24_165.cypher	24	42	0,1,10,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_166.graph	query_dense_24_166.cypher	24	54	0,1,10,11,14,2,3,4,5,7,8,9	0
query_dense_24_167.graph	query_dense_24_167.cypher	24	86	0,1,10,11,14,2,3,4,5,6,7,8	0
query_dense_24_168.graph	query_dense_24_168.cypher	24	51	0,1,10,11,14,3,4,5,7,8,9	0
query_dense_24_169.graph	query_dense_24_169.cypher	24	40	0,1,11,12,14,3,4,5,6,7,9	0
query_dense_24_17.graph	query_dense_24_17.cypher	24	49	0,1,10,11,12,13,14,3,4,5,7,8,9	0
query_dense_24_170.graph	query_dense_24_170.cypher	24	55	0,10,11,12,14,2,3,5,6,7,8	0
query_dense_24_171.graph	query_dense_24_171.cypher	24	43	0,1,10,11,12,13,2,4,5,7,8,9	0
query_dense_24_172.graph	query_dense_24_172.cypher	24	58	0,1,11,12,13,14,2,3,4,5,7,8	0
query_dense_24_173.graph	query_dense_24_173.cypher	24	45	0,1,10,11,12,14,2,3,4,8,9	0
query_dense_24_174.graph	query_dense_24_174.cypher	24	69	0,1,12,13,14,2,5,6,7,8,9	0
query_dense_24_175.graph	query_dense_24_175.cypher	24	59	0,1,10,12,13,2,3,4,5,6,7,8,9	0
query_dense_24_176.graph	query_dense_24_176.cypher	24	42	0,1,10,11,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_177.graph	query_dense_24_177.cypher	24	54	0,10,11,12,13,14,2,3,5,6,7,8	0
query_dense_24_178.graph	query_dense_24_178.cypher	24	42	0,1,10,11,12,13,14,2,4,6,7,8,9	0
query_dense_24_179.graph	query_dense_24_179.cypher	24	39	0,1,11,12,13,14,2,5,7,8,9	0
query_dense_24_18.graph	query_dense_24_18.cypher	24	44	0,1,10,11,13,14,2,3,4,6,7,9	0
query_dense_24_180.graph	query_dense_24_180.cypher	24	61	0,1,11,13,14,2,3,4,5,6,7,8	0
query_dense_24_181.graph	query_dense_24_181.cypher	24	60	0,1,10,13,14,2,3,5,6,7,8	0
query_dense_24_182.graph	query_dense_24_182.cypher	24	71	0,1,11,12,14,2,3,4,6,7,8	0
query_dense_24_183.graph	query_dense_24_183.cypher	24	65	0,1,10,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_184.graph	query_dense_24_184.cypher	24	55	0,1,10,11,12,13,2,3,4,5,6,7,8	0
query_dense_24_185.graph	query_dense_24_185.cypher	24	155	0,1,10,11,12,13,2,3,4,5,6,7,8,9	0
query_dense_24_186.graph	query_dense_24_186.cypher	24	83	0,1,10,11,13,14,4,5,6,8	0
query_dense_24_187.graph	query_dense_24_187.cypher	24	163	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_188.graph	query_dense_24_188.cypher	24	46	0,1,10,11,12,13,14,2,4,6,8,9	0
query_dense_24_189.graph	query_dense_24_189.cypher	24	49	0,1,10,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_19.graph	query_dense_24_19.cypher	24	233	0,1,10,11,13,14,2,4,5,6,7,9	0
query_dense_24_190.graph	query_dense_24_190.cypher	24	76	0,1,10,11,12,13,14,2,3,4,8,9	0
query_dense_24_191.graph	query_dense_24_191.cypher	24	276	0,1,10,11,12,13,14,2,3,4,5,6,7	0
query_dense_24_192.graph	query_dense_24_192.cypher	24	83	1,10,11,12,13,14,2,3,4,6,7,8,9	0
query_dense_24_193.graph	query_dense_24_193.cypher	24	48	0,1,10,11,12,13,14,2,3,4,6,7,8	0
query_dense_24_194.graph	query_dense_24_194.cypher	24	42	0,10,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_24_195.graph	query_dense_24_195.cypher	24	95	0,11,13,3,4,5,6,7,8,9	0
query_dense_24_196.graph	query_dense_24_196.cypher	24	44	0,10,11,12,13,14,2,4,5,6,7,8,9	0
query_dense_24_197.graph	query_dense_24_197.cypher	24	40	1,10,11,12,13,14,3,5,6,7,8,9	0
query_dense_24_198.graph	query_dense_24_198.cypher	24	39	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_199.graph	query_dense_24_199.cypher	24	41	0,1,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_24_2.graph	query_dense_24_2.cypher	24	79	0,1,10,13,14,2,3,4,5,6,7,8	0
query_dense_24_20.graph	query_dense_24_20.cypher	24	43	10,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_24_200.graph	query_dense_24_200.cypher	24	46	0,1,10,11,12,13,14,3,4,5,6,7,8	0
query_dense_24_21.graph	query_dense_24_21.cypher	24	54	0,1,10,12,14,2,3,5,6,7,8,9	0
query_dense_24_22.graph	query_dense_24_22.cypher	24	41	1,10,11,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_23.graph	query_dense_24_23.cypher	24	42	0,1,10,11,12,13,14,3,4,5,7,8,9	0
query_dense_24_24.graph	query_dense_24_24.cypher	24	47	1,10,11,12,13,14,2,3,4,5,7,8	0
query_dense_24_25.graph	query_dense_24_25.cypher	24	52	1,10,11,12,13,14,2,3,4,7,8	0
query_dense_24_26.graph	query_dense_24_26.cypher	24	42	0,1,10,12,13,14,3,6,7,8,9	0
query_dense_24_27.graph	query_dense_24_27.cypher	24	47	0,1,10,12,13,2,3,5,6,7,8,9	0
query_dense_24_28.graph	query_dense_24_28.cypher	24	65	0,1,10,11,12,13,14,3,4,5,6,7,8,9	0
query_dense_24_29.graph	query_dense_24_29.cypher	24	52	0,10,11,12,3,4,5,6,7,8,9	0
query_dense_24_3.graph	query_dense_24_3.cypher	24	68	0,10,11,12,14,2,3,4,6,7,8,9	0
query_dense_24_30.graph	query_dense_24_30.cypher	24	48	10,11,12,13,14,3,4,5,7,8,9	0
query_dense_24_31.graph	query_dense_24_31.cypher	24	46	0,1,10,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_24_32.graph	query_dense_24_32.cypher	24	47	0,1,12,13,14,2,3,4,5,6,8,9	0
query_dense_24_33.graph	query_dense_24_33.cypher	24	65	0,1,11,14,2,3,4,5,7,8,9	0
query_dense_24_34.graph	query_dense_24_34.cypher	24	43	0,1,11,12,13,14,2,4,6,7,8,9	0
query_dense_24_35.graph	query_dense_24_35.cypher	24	51	0,10,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_24_36.graph	query_dense_24_36.cypher	24	50	0,1,10,11,12,13,14,2,5,6,7,8,9	0
query_dense_24_37.graph	query_dense_24_37.cypher	24	75	0,1,10,13,3,4,5,6,7,8,9	0
query_dense_24_38.graph	query_dense_24_38.cypher	24	86	0,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_39.graph	query_dense_24_39.cypher	24	42	0,1,10,11,13,14,2,5,6,7,8,9	0
query_dense_24_4.graph	query_dense_24_4.cypher	24	50	0,1,10,11,12,13,14,2,3,4,5,6,9	0
query_dense_24_40.graph	query_dense_24_40.cypher	24	95	0,1,10,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_24_41.graph	query_dense_24_41.cypher	24	44	1,10,11,12,13,14,2,3,4,5,6,7,8	0
query_dense_24_42.graph	query_dense_24_42.cypher	24	62	0,10,11,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_43.graph	query_dense_24_43.cypher	24	178	0,1,10,11,12,13,14,2,3,4,5,6,7,8	0
query_dense_24_44.graph	query_dense_24_44.cypher	24	62	1,10,11,12,13,3,4,5,6,7,9	0
query_dense_24_45.graph	query_dense_24_45.cypher	24	53	0,10,11,13,14,3,5,6,7,8,9	0
query_dense_24_46.graph	query_dense_24_46.cypher	24	47	11,12,13,2,3,4,5,6,8,9	0
query_dense_24_47.graph	query_dense_24_47.cypher	24	72	0,1,10,11,12,13,14,2,3,5,6,9	0
query_dense_24_48.graph	query_dense_24_48.cypher	24	48	0,1,10,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_49.graph	query_dense_24_49.cypher	24	49	0,1,10,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_5.graph	query_dense_24_5.cypher	24	53	0,1,10,11,14,2,3,4,6,7,8,9	0
query_dense_24_50.graph	query_dense_24_50.cypher	24	54	0,10,11,12,13,14,2,4,5,6,7,9	0
query_dense_24_51.graph	query_dense_24_51.cypher	24	43	1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_52.graph	query_dense_24_52.cypher	24	44	0,1,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_53.graph	query_dense_24_53.cypher	24	72	0,1,10,11,12,13,14,2,3,4,6,7,8,9	0
query_dense_24_54.graph	query_dense_24_54.cypher	24	62	0,1,10,11,13,14,2,3,4,5,6,9	0
query_dense_24_55.graph	query_dense_24_55.cypher	24	52	0,1,10,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_56.graph	query_dense_24_56.cypher	24	39	0,1,10,11,12,13,14,2,3,4,5,7,8	0
query_dense_24_57.graph	query_dense_24_57.cypher	24	45	0,10,12,13,14,2,3,4,5,7,8	0
query_dense_24_58.graph	query_dense_24_58.cypher	24	44	0,1,10,11,12,13,2,3,4,5,8,9	0
query_dense_24_59.graph	query_dense_24_59.cypher	24	56	0,1,10,12,13,14,4,6,8,9	0
query_dense_24_6.graph	query_dense_24_6.cypher	24	50	0,10,12,13,14,3,4,5,6,7,8,9	0
query_dense_24_60.graph	query_dense_24_60.cypher	24	41	0,1,10,12,13,14,2,3,5,6,7,8,9	0
query_dense_24_61.graph	query_dense_24_61.cypher	24	40	0,1,10,12,13,2,5,6,7,8,9	0
query_dense_24_62.graph	query_dense_24_62.cypher	24	88	0,1,10,11,13,2,4,5,6,7,8,9	0
query_dense_24_63.graph	query_dense_24_63.cypher	24	41	0,1,12,13,14,2,3,4,7,8,9	0
query_dense_24_64.graph	query_dense_24_64.cypher	24	42	1,10,11,12,13,14,2,4,6,7,8,9	0
query_dense_24_65.graph	query_dense_24_65.cypher	24	40	0,1,11,12,13,14,2,3,4,5,7,8	0
query_dense_24_66.graph	query_dense_24_66.cypher	24	54	0,1,10,11,12,13,14,3,4,5,8,9	0
query_dense_24_67.graph	query_dense_24_67.cypher	24	92	0,1,10,11,12,13,14,2,3,4,6,7,8,9	0
query_dense_24_68.graph	query_dense_24_68.cypher	24	39	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_69.graph	query_dense_24_69.cypher	24	55	0,1,11,13,14,3,4,5,7,8,9	0
query_dense_24_7.graph	query_dense_24_7.cypher	24	50	0,11,12,13,14,2,3,4,6,8,9	0
query_dense_24_70.graph	query_dense_24_70.cypher	24	46	0,1,10,11,13,14,3,4,5,6,7,8,9	0
query_dense_24_71.graph	query_dense_24_71.cypher	24	45	0,1,10,11,13,14,2,3,6,7,8,9	0
query_dense_24_72.graph	query_dense_24_72.cypher	24	39	0,1,10,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_73.graph	query_dense_24_73.cypher	24	42	0,1,10,11,12,13,14,3,5,6,9	0
query_dense_24_74.graph	query_dense_24_74.cypher	24	41	1,10,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_24_75.graph	query_dense_24_75.cypher	24	41	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_76.graph	query_dense_24_76.cypher	24	53	1,10,12,13,2,3,4,5,7,8,9	0
query_dense_24_77.graph	query_dense_24_77.cypher	24	61	0,1,10,11,12,13,14,2,4,5,6,7,8,9	0
query_dense_24_78.graph	query_dense_24_78.cypher	24	119	0,1,10,12,13,14,2,3,6,7,8,9	0
query_dense_24_79.graph	query_dense_24_79.cypher	24	101	0,1,10,11,12,13,2,3,4,6,7,9	0
query_dense_24_8.graph	query_dense_24_8.cypher	24	75	1,10,11,12,13,14,3,4,6,7,8,9	0
query_dense_24_80.graph	query_dense_24_80.cypher	24	47	0,1,11,12,13,14,2,3,4,5,7,8	0
query_dense_24_81.graph	query_dense_24_81.cypher	24	76	0,1,10,11,12,13,14,2,3,4,5,6,7,8	0
query_dense_24_82.graph	query_dense_24_82.cypher	24	43	0,1,10,11,12,13,14,2,3,5,6,7,8	0
query_dense_24_83.graph	query_dense_24_83.cypher	24	42	1,10,11,12,13,14,2,3,4,5,6,7	0
query_dense_24_84.graph	query_dense_24_84.cypher	24	76	0,1,10,11,12,13,2,3,4,5,6,7,9	0
query_dense_24_85.graph	query_dense_24_85.cypher	24	50	1,10,12,13,14,2,3,5,6,7,8,9	0
query_dense_24_86.graph	query_dense_24_86.cypher	24	47	0,1,12,13,14,2,3,4,5,6,8,9	0
query_dense_24_87.graph	query_dense_24_87.cypher	24	128	0,1,10,11,12,14,2,3,4,5,6,8,9	0
query_dense_24_88.graph	query_dense_24_88.cypher	24	83	0,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_89.graph	query_dense_24_89.cypher	24	80	0,10,11,12,13,14,2,4,5,6,8,9	0
query_dense_24_9.graph	query_dense_24_9.cypher	24	49	1,10,11,12,14,2,3,4,5,6,7,8	0
query_dense_24_90.graph	query_dense_24_90.cypher	24	86	0,1,10,11,12,13,2,4,5,7,8	0
query_dense_24_91.graph	query_dense_24_91.cypher	24	41	1,11,12,13,3,4,5,6,7,8,9	0
query_dense_24_92.graph	query_dense_24_92.cypher	24	44	0,11,12,13,14,2,4,5,6,7,8,9	0
query_dense_24_93.graph	query_dense_24_93.cypher	24	43	0,1,11,12,13,14,2,3,4,5,6,7,8	0
query_dense_24_94.graph	query_dense_24_94.cypher	24	82	0,1,10,11,12,13,3,5,6,7,8,9	0
query_dense_24_95.graph	query_dense_24_95.cypher	24	59	0,1,10,11,12,2,3,4,6,7,9	0
query_dense_24_96.graph	query_dense_24_96.cypher	24	66	1,11,12,13,14,2,5,6,7,8,9	0
query_dense_24_97.graph	query_dense_24_97.cypher	24	42	1,10,11,12,13,2,3,4,5,6,7,8,9	0
query_dense_24_98.graph	query_dense_24_98.cypher	24	116	0,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_24_99.graph	query_dense_24_99.cypher	24	95	0,1,10,12,14,2,3,4,5,7,8,9	0
query_dense_32_1.graph	query_dense_32_1.cypher	32	62	0,1,10,11,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_10.graph	query_dense_32_10.cypher	32	71	0,1,10,11,12,13,3,4,6,7,8,9	0
query_dense_32_100.graph	query_dense_32_100.cypher	32	67	0,10,11,13,14,2,3,4,5,6,7,9	0
query_dense_32_101.graph	query_dense_32_101.cypher	32	63	0,1,10,11,14,2,3,4,5,6,7,9	0
query_dense_32_102.graph	query_dense_32_102.cypher	32	82	1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_103.graph	query_dense_32_103.cypher	32	58	0,1,10,11,12,13,14,2,4,5,6,7,8	0
query_dense_32_104.graph	query_dense_32_104.cypher	32	81	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_105.graph	query_dense_32_105.cypher	32	75	0,10,11,12,13,14,2,3,4,5,6,7,9	0
query_dense_32_106.graph	query_dense_32_106.cypher	32	81	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_107.graph	query_dense_32_107.cypher	32	175	0,1,10,11,12,13,2,3,4,5,6,8,9	0
query_dense_32_108.graph	query_dense_32_108.cypher	32	57	1,10,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_32_109.graph	query_dense_32_109.cypher	32	70	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_11.graph	query_dense_32_11.cypher	32	52	0,1,10,11,12,13,14,2,3,4,5,7,8,9	0
query_dense_32_110.graph	query_dense_32_110.cypher	32	69	0,1,10,11,12,13,2,3,5,6,7,8,9	0
query_dense_32_111.graph	query_dense_32_111.cypher	32	65	0,1,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_112.graph	query_dense_32_112.cypher	32	72	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_113.graph	query_dense_32_113.cypher	32	97	0,1,10,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_32_114.graph	query_dense_32_114.cypher	32	56	0,1,10,12,13,14,2,4,5,6,7,8,9	0
query_dense_32_115.graph	query_dense_32_115.cypher	32	108	0,1,11,12,13,14,2,4,5,6,7,8,9	0
query_dense_32_116.graph	query_dense_32_116.cypher	32	202	0,1,10,11,12,13,2,3,4,5,6,7,8	0
query_dense_32_117.graph	query_dense_32_117.cypher	32	66	0,10,11,12,13,14,2,3,5,7,8	0
query_dense_32_118.graph	query_dense_32_118.cypher	32	63	0,1,11,12,13,2,3,4,5,6,7,8,9	0
query_dense_32_119.graph	query_dense_32_119.cypher	32	53	0,1,10,11,13,14,2,3,4,5,6,7,8	0
query_dense_32_12.graph	query_dense_32_12.cypher	32	53	1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_120.graph	query_dense_32_120.cypher	32	64	0,1,10,11,12,13,14,2,3,4,6,7,8,9	0
query_dense_32_121.graph	query_dense_32_121.cypher	32	94	0,10,11,13,2,3,4,5,6,7,9	0
query_dense_32_122.graph	query_dense_32_122.cypher	32	69	0,1,10,12,13,14,2,3,4,5,6,7,9	0
query_dense_32_123.graph	query_dense_32_123.cypher	32	57	1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_124.graph	query_dense_32_124.cypher	32	76	0,1,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_125.graph	query_dense_32_125.cypher	32	56	0,1,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_126.graph	query_dense_32_126.cypher	32	140	0,1,11,13,14,2,3,4,5,7,8,9	0
query_dense_32_127.graph	query_dense_32_127.cypher	32	54	0,1,10,11,12,13,14,2,3,7,8,9	0
query_dense_32_128.graph	query_dense_32_128.cypher	32	63	0,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_129.graph	query_dense_32_129.cypher	32	82	1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_13.graph	query_dense_32_13.cypher	32	158	0,1,10,11,12,13,14,2,3,4,5,6,8	0
query_dense_32_130.graph	query_dense_32_130.cypher	32	102	0,1,10,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_32_131.graph	query_dense_32_131.cypher	32	80	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_132.graph	query_dense_32_132.cypher	32	95	0,1,10,11,12,14,2,3,4,5,6,7,8	0
query_dense_32_133.graph	query_dense_32_133.cypher	32	61	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_134.graph	query_dense_32_134.cypher	32	130	0,1,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_32_135.graph	query_dense_32_135.cypher	32	73	0,1,10,11,12,13,14,2,3,4,5,7,8,9	0
query_dense_32_136.graph	query_dense_32_136.cypher	32	64	0,1,10,11,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_137.graph	query_dense_32_137.cypher	32	72	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_138.graph	query_dense_32_138.cypher	32	75	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_139.graph	query_dense_32_139.cypher	32	57	0,1,10,12,13,14,2,3,4,5,6,7,9	0
query_dense_32_14.graph	query_dense_32_14.cypher	32	52	10,11,12,13,14,2,4,5,6,7,8	0
query_dense_32_140.graph	query_dense_32_140.cypher	32	68	0,1,10,12,13,14,2,3,5,6,7,8	0
query_dense_32_141.graph	query_dense_32_141.cypher	32	73	0,1,10,12,13,14,3,4,5,6,7,8,9	0
query_dense_32_142.graph	query_dense_32_142.cypher	32	77	0,1,10,11,12,2,3,4,5,6,7,8,9	0
query_dense_32_143.graph	query_dense_32_143.cypher	32	53	0,1,10,11,12,13,14,2,4,5,6,9	0
query_dense_32_144.graph	query_dense_32_144.cypher	32	53	1,10,12,13,14,2,3,4,5,6,7,9	0
query_dense_32_145.graph	query_dense_32_145.cypher	32	62	0,1,10,11,12,13,14,3,4,5,7,9	0
query_dense_32_146.graph	query_dense_32_146.cypher	32	65	0,1,10,11,13,14,2,3,4,5,7,8,9	0
query_dense_32_147.graph	query_dense_32_147.cypher	32	59	0,10,11,12,13,2,3,4,5,6,7,8,9	0
query_dense_32_148.graph	query_dense_32_148.cypher	32	56	0,1,10,11,12,13,2,4,5,6,7,8,9	0
query_dense_32_149.graph	query_dense_32_149.cypher	32	63	1,10,11,12,13,14,2,3,4,5,7,8,9	0
query_dense_32_15.graph	query_dense_32_15.cypher	32	122	0,1,10,11,13,14,4,5,6,7,8,9	0
query_dense_32_150.graph	query_dense_32_150.cypher	32	71	1,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_32_151.graph	query_dense_32_151.cypher	32	66	0,1,10,11,12,13,14,3,4,5,6,7,8,9	0
query_dense_32_152.graph	query_dense_32_152.cypher	32	55	0,1,10,11,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_153.graph	query_dense_32_153.cypher	32	170	0,1,10,12,14,2,3,4,5,6,7,8,9	0
query_dense_32_154.graph	query_dense_32_154.cypher	32	53	0,1,10,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_32_155.graph	query_dense_32_155.cypher	32	114	1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_156.graph	query_dense_32_156.cypher	32	84	0,1,10,11,12,13,14,2,3,4,5,6,8	0
query_dense_32_157.graph	query_dense_32_157.cypher	32	62	0,1,10,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_32_158.graph	query_dense_32_158.cypher	32	175	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_159.graph	query_dense_32_159.cypher	32	162	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_16.graph	query_dense_32_16.cypher	32	53	0,10,11,12,13,14,2,3,4,5,9	0
query_dense_32_160.graph	query_dense_32_160.cypher	32	220	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_161.graph	query_dense_32_161.cypher	32	86	0,1,10,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_32_162.graph	query_dense_32_162.cypher	32	87	0,1,10,11,12,13,14,2,3,4,7,8,9	0
query_dense_32_163.graph	query_dense_32_163.cypher	32	62	0,10,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_32_164.graph	query_dense_32_164.cypher	32	75	0,1,11,12,13,14,2,3,4,5,6,7,8	0
query_dense_32_165.graph	query_dense_32_165.cypher	32	59	0,1,10,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_32_166.graph	query_dense_32_166.cypher	32	56	0,1,10,11,12,13,14,3,4,5,6,7,8,9	0
query_dense_32_167.graph	query_dense_32_167.cypher	32	67	0,10,11,12,13,14,2,3,4,6,8,9	0
query_dense_32_168.graph	query_dense_32_168.cypher	32	57	0,1,10,12,13,14,2,4,5,7,8,9	0
query_dense_32_169.graph	query_dense_32_169.cypher	32	186	0,1,10,11,12,2,3,4,5,7,8,9	0
query_dense_32_17.graph	query_dense_32_17.cypher	32	63	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_170.graph	query_dense_32_170.cypher	32	64	0,1,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_171.graph	query_dense_32_171.cypher	32	69	0,1,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_172.graph	query_dense_32_172.cypher	32	67	0,1,10,11,12,13,2,3,4,5,6,7,8,9	0
query_dense_32_173.graph	query_dense_32_173.cypher	32	131	0,1,10,11,12,13,2,3,4,5,6,7,8,9	0
query_dense_32_174.graph	query_dense_32_174.cypher	32	83	0,1,11,12,13,14,2,3,5,6,7,8,9	0
query_dense_32_175.graph	query_dense_32_175.cypher	32	54	0,1,10,11,12,13,2,4,6,7,8,9	0
query_dense_32_176.graph	query_dense_32_176.cypher	32	66	0,1,10,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_32_177.graph	query_dense_32_177.cypher	32	71	0,1,10,11,12,13,14,2,3,4,5,6,8,9	0
query_dense_32_178.graph	query_dense_32_178.cypher	32	66	0,1,11,12,13,14,2,3,4,5,7,8,9	0
query_dense_32_179.graph	query_dense_32_179.cypher	32	68	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_18.graph	query_dense_32_18.cypher	32	60	0,1,10,11,12,14,2,3,4,5,6,8,9	0
query_dense_32_180.graph	query_dense_32_180.cypher	32	114	0,1,11,12,14,2,3,5,6,7,8,9	0
query_dense_32_181.graph	query_dense_32_181.cypher	32	62	0,10,11,12,13,14,3,4,5,6,7,8,9	0
query_dense_32_182.graph	query_dense_32_182.cypher	32	60	0,1,10,12,13,14,2,3,5,6,7,8,9	0
query_dense_32_183.graph	query_dense_32_183.cypher	32	55	0,1,10,11,13,14,2,3,4,6,7,8,9	0
query_dense_32_184.graph	query_dense_32_184.cypher	32	83	0,1,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_185.graph	query_dense_32_185.cypher	32	72	0,1,10,12,13,14,2,5,7,8	0
query_dense_32_186.graph	query_dense_32_186.cypher	32	73	0,1,10,11,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_187.graph	query_dense_32_187.cypher	32	54	0,1,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_188.graph	query_dense_32_188.cypher	32	53	1,10,11,12,13,14,2,3,4,6,7,8,9	0
query_dense_32_189.graph	query_dense_32_189.cypher	32	74	0,10,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_19.graph	query_dense_32_19.cypher	32	53	0,1,10,12,13,14,3,4,5,6,7,8,9	0
query_dense_32_190.graph	query_dense_32_190.cypher	32	70	0,1,10,11,12,13,14,3,4,6,7,8,9	0
query_dense_32_191.graph	query_dense_32_191.cypher	32	188	1,10,11,12,13,14,3,4,5,6,7,8,9	0
query_dense_32_192.graph	query_dense_32_192.cypher	32	94	0,1,10,11,12,13,14,2,4,5,6,8,9	0
query_dense_32_193.graph	query_dense_32_193.cypher	32	53	0,11,12,14,2,3,4,5,6,7,8,9	0
query_dense_32_194.graph	query_dense_32_194.cypher	32	55	0,10,11,12,13,14,2,4,6,7,8,9	0
query_dense_32_195.graph	query_dense_32_195.cypher	32	61	1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_196.graph	query_dense_32_196.cypher	32	60	0,1,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_197.graph	query_dense_32_197.cypher	32	73	0,1,10,11,12,13,2,3,4,5,6,7,8,9	0
query_dense_32_198.graph	query_dense_32_198.cypher	32	54	0,10,11,12,13,14,2,3,4,5,6,7,8,9	0
query_dense_32_199.graph	query_dense_32_199.cypher	32	53	0,1,10,11,12,13,14,3,4,5,6,7,8,9	0
query_dense_32_2.graph	query_dense_32_2.cypher	32	56	0,1,10,11,12,13,14,3,4,5,6,7,8,9	0
query_dense_32_20.graph	query_dense_32_20.cypher	32	71	0,10,11,12,13,14,2,3,4,6,7,8,9	0
query_dense_32_200.graph	query_dense_32_200.cypher	32	164	0,1,10,11,12,13,14,4,6,7,9	0
query_dense_32_21.graph	query_dense_32_21.cypher	32	53	0,1,10,11,12,13,14,2,3,5,6,7,8,9	0
